75	150	976
67	133	13165
67	133	3728
85	170	6138
16	33	2972
75	150	6769
96	191	2916
60	121	442
62	123	9890
59	118	5089
46	91	5512
76	151	3025
71	142	2606
63	126	1957
91	182	6648
79	158	2640
89	178	5029
87	174	3571
77	154	1513
56	111	43021
74	147	38925
97	194	5530
30	59	2632
33	66	21703
81	160	1353
89	176	4602
91	182	2671
73	146	1188
79	156	1931
85	168	11665
70	139	21162
47	94	12794
52	103	5749
26	51	5975
91	180	3149
69	138	13708
78	155	4547
67	133	4869
87	172	2632
57	114	2644
56	113	6146
75	150	2398
99	196	1112
57	114	3919
35	70	1929
50	101	11114
72	143	5143
78	155	3703
62	125	5492
49	98	1389
76	151	1660
80	159	4364
40	81	4697
69	136	4459
76	151	1897
56	111	14411
67	133	10746
52	103	4411
56	111	6129
76	151	9691
73	146	10063
105	208	7049
71	140	3510
44	87	5399
55	110	4368
87	172	623
73	146	354
69	136	16559
5	10	15381
74	147	35685
59	118	2201
60	121	8741
81	160	39203
71	140	9936
81	162	20836
73	146	8585
73	144	28659
75	150	15377
61	122	16355
52	103	4377
54	107	9629
62	125	4646
65	130	26677
73	144	8762
71	140	27131
68	135	9505
73	144	2173
105	210	3966
58	117	633
89	176	87484
49	98	30478
64	129	3159
24	49	1119
85	168	63732
70	139	61455
79	158	34975
71	140	4066
67	133	4160
61	122	1972
73	146	1781
75	150	7611
71	140	91260
80	159	1089
61	122	1600
71	140	2622
62	125	6715
70	139	863
59	118	10073
61	122	30018
47	94	9563
67	133	2297
77	152	845
85	170	2004
73	144	2363
71	140	3962
81	162	3123
36	71	1172
72	143	2832
58	117	1977
101	202	1840
63	126	2766
70	139	2715
71	140	2426
76	151	2233
72	143	3015
74	147	2158
81	162	2321
73	146	3437
79	158	3698
75	150	1702
69	138	2114
81	162	3186
73	144	2635
73	144	2819
71	142	2466
76	151	2443
75	148	1392
77	154	3173
71	142	2886
68	135	1588
82	163	1936
85	168	3188
81	162	2090
76	151	1769
82	163	2254
81	160	2881
83	166	2595
75	148	1787
75	150	1866
57	114	1949
83	164	1719
73	146	2607
71	142	1945
60	119	2245
65	130	3579
71	140	3336
85	170	2320
60	121	3770
75	148	2170
86	171	1809
79	156	2574
75	148	2722
74	147	2048
75	150	3193
65	130	1348
73	146	2315
76	151	2644
74	147	2716
69	138	3884
81	160	1479
85	168	731
67	134	1380
77	152	2189
81	160	2050
87	174	2235
69	136	3385
87	172	1977
81	160	2374
66	131	3484
83	166	1745
82	163	3021
85	170	3273
79	156	2715
77	154	683
73	144	2468
86	171	2160
60	121	2010
74	147	3196
79	158	1986
75	148	1986
73	144	3044
79	158	2526
79	156	3328
66	131	2730
76	151	2812
67	134	2254
73	144	2931
94	187	3973
83	164	1144
67	134	2338
69	136	3008
73	146	2286
79	158	3494
83	166	860
51	102	3719
73	144	2505
99	196	1731
77	152	1116
82	163	2564
83	164	2474
77	152	2130
75	150	3803
71	142	3646
84	167	2091
103	206	3794
81	160	3010
77	154	3292
79	156	2325
62	123	2045
83	164	2815
81	160	2588
67	133	2385
62	123	2608
76	151	2899
60	119	3086
